Vg_V,Vd_V,Id_A
1.250000e+00,1.000000e+00,-1.005730e-05
1.300000e+00,1.000000e-01,-1.125700e-06
1.300000e+00,1.000000e+00,-1.125690e-05
1.350000e+00,1.000000e-01,-1.255550e-06
1.350000e+00,1.000000e+00,-1.255550e-05
1.400000e+00,1.000000e-01,-1.395770e-06
1.400000e+00,1.000000e+00,-1.395770e-05
1.450000e+00,1.000000e-01,-1.546830e-06
1.450000e+00,1.000000e+00,-1.546830e-05
1.500000e+00,1.000000e-01,-1.709220e-06
1.500000e+00,1.000000e+00,-1.709220e-05
1.550000e+00,1.000000e-01,-1.883440e-06
1.550000e+00,1.000000e+00,-1.883440e-05
1.600000e+00,1.000000e-01,-2.069990e-06
1.600000e+00,1.000000e+00,-2.069990e-05
1.650000e+00,1.000000e-01,-2.269380e-06
1.650000e+00,1.000000e+00,-2.269380e-05
1.700000e+00,1.000000e-01,-2.482120e-06
1.700000e+00,1.000000e+00,-2.482120e-05
1.750000e+00,1.000000e-01,-2.708740e-06
1.750000e+00,1.000000e+00,-2.708740e-05
1.800000e+00,1.000000e-01,-2.949760e-06
1.800000e+00,1.000000e+00,-2.949760e-05
1.850000e+00,1.000000e-01,-3.205730e-06
1.850000e+00,1.000000e+00,-3.205730e-05
1.900000e+00,1.000000e-01,-3.477180e-06
1.900000e+00,1.000000e+00,-3.477180e-05
1.950000e+00,1.000000e-01,-3.764670e-06
1.950000e+00,1.000000e+00,-3.764670e-05
2.000000e+00,1.000000e-01,-4.068750e-06
2.000000e+00,1.000000e+00,-4.068750e-05
